name,type,status,street,locality,town,county,postcode,website,phone,head_title,head_first_name,head_last_name,head_job_title,religion,gender,phase,opened_date,constituency,urn,email
Comet Nursery School and Children's Centre,Local authority nursery school,Open,20 Halcomb Street,Hoxton,London,,N1 5RF,https://www.cometnurseryandcc.co.uk/website,2077499850.0,Ms,Lisa,Clarke,Headteacher,Does not apply,Mixed,Nursery,,Hackney South and Shoreditch,100213,admin@comet.hackney.sch.uk
Berger Primary School,Community school,Open,Anderson Road,Hackney,London,,E9 6HB,www.berger.hackney.sch.uk,2089856280.0,Mr,Yusuf,Gleason,Headteacher,Does not apply,Mixed,Primary,,Hackney South and Shoreditch,100218,tania.pope@berger.hackney.sch.uk
Daubeney Primary School,Community school,Open,Daubeney Road,Clapton,London,,E5 0EG,www.daubeney.hackney.sch.uk,2089854380.0,Mr,Robin,Warren,Exectutive Head,Does not apply,Mixed,Primary,,Hackney North and Stoke Newington,100223,admin@daubeney.hackney.sch.uk
Gainsborough Primary School,Community school,Open,Berkshire Road,,London,,E9 5ND,www.gainsborough.hackney.sch.uk,2089854622.0,Ms,Jenna,Clark,Headteacher,Does not apply,Mixed,Primary,,Hackney South and Shoreditch,100225,admin@gainsborough.hackney.sch.uk
Lauriston School,Community school,Open,Rutland Road,,London,,E9 7JS,www.lauriston.hackney.sch.uk,2089856331.0,Mr,Robin,Warren,Executive Headteacher,Does not apply,Mixed,Primary,,Hackney South and Shoreditch,100229,finance@lauriston.hackney.sch.uk
London Fields Primary School,Community school,Open,Westgate Street,Hackney,London,,E8 3RL,www.londonfields.hackney.sch.uk,2072544330.0,Ms,Sharon,Taylor,Headteacher,Does not apply,Mixed,Primary,,Hackney South and Shoreditch,100230,information@londonfields.hackney.sch.uk
Millfields Community School,Community school,Open,Hilsea Street,Hackney,London,,E5 0SH,http://www.millfields.hackney.sch.uk/,2089857898.0,Miss,Jane,Betsworth,Headteacher,Does not apply,Mixed,Primary,,Hackney North and Stoke Newington,100231,info@millfields.hackney.sch.uk
Morningside Primary School,Community school,Open,Chatham Place,Hackney,London,,E9 6LL,www.morningside.hackney.sch.uk,2089855382.0,Ms,Rachel,Smith and Jo Stonehouse,Headteacher,Does not apply,Mixed,Primary,,Hackney South and Shoreditch,100232,admin@morningside.hackney.sch.uk
Orchard Primary School,Community school,Open,Holcroft Road,Hackney,London,,E9 7BB,www.orchard.hackney.sch.uk/,2089857785.0,Mr,Stephen,O'Brien,Executive Headteacher,Does not apply,Mixed,Primary,,Hackney South and Shoreditch,100234,AdminOrchard@vs.hackney.sch.uk
Queensbridge Primary School,Community school,Open,Queensbridge Road,Haggerston,London,,E8 4ET,www.queensbridge.hackney.sch.uk,2072541186.0,Ms,Sarah,Bailey OBE,Executive Head Teacher,Does not apply,Mixed,Primary,,Hackney South and Shoreditch,100235,admin@queensbridge.hackney.sch.uk
Princess May Primary School,Community school,Open,Princess May Road,,London,,N16 8DF,www.princessmay.hackney.sch.uk/,2072541589.0,Mr,Kevin,Reynolds,Headteacher,Does not apply,Mixed,Primary,,Hackney North and Stoke Newington,100239,admin@princessmay.hackney.sch.uk
Sebright School,Community school,Open,Audrey Street,Goldsmiths Row,London,,E2 8QH,http://www.sebright.hackney.sch.uk,2077396531.0,Mr,Robin,Warren,Executive Headteacher,Does not apply,Mixed,Primary,,Hackney South and Shoreditch,100240,admin@sebright.hackney.sch.uk
Shacklewell Primary School,Community school,Open,Shacklewell Row,Hackney,London,,E8 2EA,www.shacklewell.hackney.sch.uk/,2072541415.0,Ms,Nicole,Reid (Executive Headteacher),Executive Headteacher,Does not apply,Mixed,Primary,,Hackney North and Stoke Newington,100241,swoffice@newwavefederation.co.uk
Southwold Primary School,Community school,Open,Detmold Road,Clapton,Hackney,,E5 9NL,www.southwold.hackney.sch.uk/,2088065201.0,Mr,Stephen,O'Brien,Executive Headteacher,Does not apply,Mixed,Primary,,Hackney North and Stoke Newington,100242,AdminSouthwold@vs.hackney.sch.uk
Thomas Fairchild Community School,Community school,Open,Forston Street,Hoxton,London,,N1 7HA,http://www.thomasfairchild.hackney.sch.uk/,2072539469.0,Mr,Matthew,Trahair,Executive Headteacher,Does not apply,Mixed,Primary,,Hackney South and Shoreditch,100243,tfoffice@newwavefederation.co.uk
Oldhill Community School,Community school,Open,Oldhill Street,,London,,N16 6LR,http://www.oldhill.hackney.sch.uk/,2088064130.0,,Jacquline,Benjamin,Headteacher,Does not apply,Mixed,Primary,,Hackney North and Stoke Newington,100244,admin@oldhill.hackney.sch.uk
Shoreditch Park Primary School,Community school,Open,Bridport Place,,London,,N1 5JN,www.shoreditchpark.hackney.sch.uk,2077397973.0,Ms,Penny,Smith,Headteacher,Does not apply,Mixed,Primary,,Hackney South and Shoreditch,100245,admin@shoreditchpark.hackney.sch.uk
Woodberry Down Community Primary School,Community school,Open,Woodberry Grove,Finsbury Park,London,,N4 1SY,www.woodberrydown.hackney.sch.uk/,2088005758.0,Ms,Nicole,Reid (Executive Headteacher),Executive Headteacher,Does not apply,Mixed,Primary,,Tottenham,100248,wdoffice@newwavefederation.co.uk
Kingsmead Primary School,Community school,Open,Kingsmead Way,,London,,E9 5PP,http://www.kingsmead.hackney.sch.uk/,2089855779.0,Ms,Louise,Nichols,Headteacher,Does not apply,Mixed,Primary,,Hackney North and Stoke Newington,100250,admin@kingsmead.hackney.sch.uk
Sir Thomas Abney School,Community school,Open,Fairholt Road,Stoke Newington,London,,N16 5ED,www.sirthomasabney.hackney.sch.uk/,2088001411.0,Ms,Geraldine,Fitzmaurice,Headteacher,Does not apply,Mixed,Primary,,Hackney North and Stoke Newington,100251,admin@sirthomasabney.hackney.sch.uk
Grasmere Primary School,Community school,Open,92 Albion Road,,London,,N16 9PD,www.grasmere.hackney.sch.uk,2072544564.0,Ms,Karen,Pedro,Interim Headteacher,Does not apply,Mixed,Primary,,Hackney North and Stoke Newington,100252,info@grasmere.hackney.sch.uk
Jubilee Primary School,Community school,Open,Filey Avenue,,London,,N16 6NR,http://www.jubilee.hackney.sch.uk/,2088065446.0,Mr,Joshua,Cardale,Headteacher,Does not apply,Mixed,Primary,,Hackney North and Stoke Newington,100253,admin@jubilee.hackney.sch.uk
Nightingale Primary School,Community school,Open,Tiger Way,Hackney,London,,E5 8NA,www.nightingale.hackney.sch.uk/,2089854259.0,Mrs,Abigail,Hopper,Headteacher,Does not apply,Mixed,Primary,,Hackney North and Stoke Newington,100254,info@nightingale-maritime.org
Harrington Hill Primary School,Community school,Open,Mount Pleasant Lane,,London,,E5 9JG,www.harringtonhill.hackney.sch.uk/,2088067275.0,Mrs,Rebecca,Kennedy,Head of School,Does not apply,Mixed,Primary,,Hackney North and Stoke Newington,100256,admin@harringtonhill.hackney.sch.uk
Holmleigh Primary School,Community school,Open,Dunsmure Road,,London,,N16 5PU,www.holmleigh.hackney.sch.uk/,2088027420.0,,Margaret,Boateng,Headteacher,Does not apply,Mixed,Primary,,Hackney North and Stoke Newington,100257,admin@holmleigh.hackney.sch.uk
Grazebrook Primary School,Community school,Open,Grazebrook Primary School,Lordship Road,London,,N16 0QP,www.grazebrook.hackney.sch.uk/,2088024051.0,Mrs,Nicole,Reid (Executive Headteacher),Executive Headteacher,Does not apply,Mixed,Primary,,Hackney North and Stoke Newington,100258,gboffice@newwavefederation.co.uk
Parkwood Primary School,Community school,Open,Queen's Drive,,LONDON,,N4 2HQ,www.parkwood.hackney.sch.uk/,2088025366.0,Mr,Paul,Thomas,Headteacher,Does not apply,Mixed,Primary,,Tottenham,100259,admin@parkwood.hackney.sch
Benthal Primary School,Community school,Open,Benthal Road,Hackney,London,,N16 7AU,www.benthal.hackney.sch.uk/,2089859310.0,Ms,Louise,Drew,Headteacher,Does not apply,Mixed,Primary,,Hackney North and Stoke Newington,100260,office@benthal.hackney.sch.uk
Mandeville Primary School,Community school,Open,Oswald Street,Hackney,London,,E5 0BT,www.mandeville.hackney.sch.uk,2089865249.0,Mr,Marc,Thompson,Associate Head,Does not apply,Mixed,Primary,,Hackney North and Stoke Newington,100261,mdvoffice@mandeville.hackney.sch.uk
Holy Trinity Church of England Primary School,Voluntary aided school,Open,Beechwood Road,,London,,E8 3DY,www.holytrinity.hackney.sch.uk,2072541010.0,Miss,Rebecca,Mackenzie,Headteacher,Church of England,Mixed,Primary,,Hackney South and Shoreditch,100263,admin@holytrinity.hackney.sch.uk
Our Lady and St Joseph Catholic Primary School,Voluntary aided school,Open,Buckingham Road,Hackney,London,,N1 4JB,http://www.olsjschool.net/,2072547353.0,Ms,Aoife,O'Grady,Headteacher,Catholic,Mixed,Primary,,Islington South and Finsbury,100264,office@olsj.co.uk
St John the Baptist Voluntary Aided Church of England Primary School,Voluntary aided school,Open,Crondall Street,,London,,N1 6JG,www.st-john.hackney.sch.uk,2077394902.0,Ms,Toni,Mason,Headteacher,Church of England,Mixed,Primary,,Hackney South and Shoreditch,100266,office@st-john.hackney.sch.uk
St Matthias Church of England Primary School,Voluntary aided school,Open,Wordsworth Road,,London,,N16 8DD,,2072541148.0,Mrs,Lucy,Blewett,Headteacher,Church of England,Mixed,Primary,,Hackney North and Stoke Newington,100267,admin@st-matthias.hackney.sch.uk
St. Paul's With St. Michael's CofE Primary School,Voluntary aided school,Open,57a Brougham Rd,,Hackney,,E8 4PB,www.spsm.hackney.sch.uk/,2072541927.0,Mrs,Kiyeran,Lot,Headteacher,Church of England,Mixed,Primary,,Hackney South and Shoreditch,100269,admin@spsm.hackney.sch.uk
St John of Jerusalem Church of England Primary School,Voluntary aided school,Open,Kingshold Road,,London,,E9 7JF,www.st-johnjerusalem.hackney.sch.uk/,2089850730.0,Mrs,René Portia,Africa,Headteacher,Church of England,Mixed,Primary,,Hackney South and Shoreditch,100270,abliss@st-johnjerusalem.hackney.sch.uk
"St Mary's Church of England Primary School, Stoke Newington",Voluntary aided school,Open,Barn Street,Stoke Newington,London,,N16 0JT,www.st-marys.hackney.sch.uk/,2088002645.0,Mrs,Breda,Mckelvey,Headteacher,Church of England,Mixed,Primary,,Hackney North and Stoke Newington,100271,admin-office@st-marys.hackney.sch.uk
St Scholastica's Catholic Primary School,Voluntary aided school,Open,Kenninghall Road,,London,,E5 8BS,www.st-scholasticas.com,2089853466.0,Mrs,Sandra,Brierley,Headteacher,Roman Catholic,Mixed,Primary,,Hackney North and Stoke Newington,100274,officeadmin@st-scholasticas.hackney.sch.uk
Simon Marks Jewish Primary School,Voluntary aided school,Open,75 Cazenove Road,Stoke Newington,London,,N16 6PD,www.simonmarks.hackney.sch.uk/,2088066048.0,Ms,Gulcan,Metin-Asdoyuran,Headteacher,Jewish,Mixed,Primary,,Hackney North and Stoke Newington,100275,info@simonmarks.hackney.sch.uk
Stoke Newington School and Sixth Form,Community school,Open,Clissold Road,,London,,N16 9EX,http://www.sns.hackney.sch.uk/,2072419600.0,Mrs,Zehra,Jaffer,Headteacher,Does not apply,Mixed,Secondary,,Hackney North and Stoke Newington,100279,admin@sns.hackney.sch.uk
All Saints Catholic High School,Voluntary aided school,Open,6-16 Amhurst Park,Stamford Hill,London,,N16 5AF,https://www.allsaintschs.co.uk,2088002158.0,Mr,Andy,English,Headteacher,Roman Catholic,Mixed,Secondary,,Hackney North and Stoke Newington,100282,officeadmin@aschs.co.uk
The Urswick School - A Church of England Secondary School,Voluntary aided school,Open,Paragon Road,Hackney,London,,E9 6NR,www.theurswickschool.co.uk,2089852430.0,Mr,Richard,Brown,Headteacher,Church of England,Mixed,Secondary,,Hackney South and Shoreditch,100284,admin@theurswickschool.co.uk
Stormont House School,Community special school,Open,Downs Park Road,,London,,E5 8NP,http://www.stormonthouse.hackney.sch.uk/,2089854245.0,Mr,Kevin,McDonnell,Headteacher,Does not apply,Mixed,Not applicable,,Hackney North and Stoke Newington,100307,info@stormonthouse.hackney.sch.uk
The Garden School,Community special school,Open,Wordsworth Road,,London,,N16 8BZ,http://www.the-garden.org.uk/,2072548096.0,Mr,Raymond,Lawrence,Executive Principal,Does not apply,Mixed,Not applicable,,Hackney North and Stoke Newington,100311,admin@thegarden.hackney.sch.uk
Ickburgh School,Community special school,Open,Kenworthy Road,Hackney,London,,E9 5RB,www.ickburgh.org.uk,2088064638.0,Mr,Joseph,Sieber,Headteacher,Does not apply,Mixed,Not applicable,,Hackney South and Shoreditch,100312,admin@ickburgh.hackney.sch.uk
Randolph Beresford Early Years Centre,Local authority nursery school,Open,Australia Road,White City,London,,W12 7PH,https://www.randolphberesfordeyc.org.uk,2087437339.0,Ms,Michele,Barrett,Executive Head of Centre,Does not apply,Mixed,Nursery,,Hammersmith and Chiswick,100315,reception@randolphberesford.lbhf.sch.uk
Vanessa Nursery School,Local authority nursery school,Open,14 Cathnor Road,,London,,W12 9JA,https://www.vanessanurseryschool.org.uk,2087438196.0,Ms,Michele,Barrett,Headteacher,Does not apply,Mixed,Nursery,,Hammersmith and Chiswick,100316,admin@vanessa.lbhf.sch.uk
James Lee Nursery School,Local authority nursery school,Open,Gliddon Road,,London,,W14 9BH,www.jameslee.lbhf.sch.uk,2087418877.0,Miss,Anne-Marie,Strachan,Headteacher,Does not apply,Mixed,Nursery,,Hammersmith and Chiswick,100317,admin@jameslee.lbhf.sch.uk
Bayonne Nursery School,Local authority nursery school,Open,50 Paynes Walk,,London,,W6 8PF,www.bayonne.lbhf.sch.uk,2073855366.0,Miss,Anne-Marie,Strachan,Headteacher,Does not apply,Mixed,Nursery,,Chelsea and Fulham,100318,senco@bayonne.lbhf.sch.uk
Addison Primary School,Community school,Open,Addison Gardens,Blythe Road,London,,W14 0DT,www.addisonprimary.org/,2076035333.0,Mr,Damien,McGarrigle,Headteacher,Does not apply,Mixed,Primary,,Hammersmith and Chiswick,100321,admin@bayonne.lbhf.sch.uk
Avonmore Primary School,Community school,Open,Avonmore Road,,London,,W14 8SH,www.avonmoreprimary.co.uk,2076039750.0,Ms,Maya,Wittleton,Head of School,Does not apply,Mixed,Primary,,Hammersmith and Chiswick,100322,enquiries@ofsted.gov
Brackenbury Primary School,Community school,Open,Dalling Road,Hammersmith,London,,W6 0BA,www.brackenbury.lbhf.sch.uk,2087433074.0,Mr,David,Collins,Headteacher,Does not apply,Mixed,Primary,,Hammersmith and Chiswick,100324,admin@brackenbury.lbhf.sch.uk
Miles Coverdale Primary School,Community school,Open,Coverdale Road,Shepherds Bush,London,,W12 8JJ,www.milescoverdaleprimary.co.uk/,2087435847.0,Mrs,Taranum,Baig,Headteacher,Does not apply,Mixed,Primary,,Hammersmith and Chiswick,100326,admin@milescoverdale.lbhf.sch.uk
Flora Gardens Primary School,Community school,Open,34 Lena Gardens,,London,,W6 7PZ,www.floragardens.lbhf.sch.uk,2087482566.0,Mrs,Katy,Asserati,Headteacher,Does not apply,Mixed,Primary,,Hammersmith and Chiswick,100328,office@fgschool.uk
Kenmont Primary School,Community school,Open,"Kenmont Primary School, Valliere Road",,London,,NW10 6AL,www.kenmont.lbhf.sch.uk,2089694497.0,Mr,David,Collins,Headteacher,Does not apply,Mixed,Primary,,Ealing Central and Acton,100331,admin@kenmont.lbhf.sch.uk
Melcombe Primary School,Community school,Open,Fulham Palace Road,,London,,W6 9ER,www.melcombe.lbhf.sch.uk,2087487411.0,Miss,Anne-Marie,Strachan,Headteacher,Does not apply,Mixed,Primary,,Chelsea and Fulham,100334,admin@melcombe.lbhf.sch.uk
Old Oak Primary School,Community school,Open,Mellitus Street,East Acton,London,,W12 0AS,www.oldoakprimary.co.uk/,2087437629.0,Mr,Joseph/Katie,Brown/Beardsworth,Headteacher,Does not apply,Mixed,Primary,,Ealing Central and Acton,100335,admin@oldoak.lbhf.sch
Sir John Lillie Primary School,Community school,Open,Lillie Road,,Fulham,,SW6 7LN,www.sirjohnlillieprimary.co.uk/,4473852107.0,Mrs,Sue,Hayward,Headteacher,Does not apply,Mixed,Primary,,Chelsea and Fulham,100338,admin@sirjohnlillie.lbhf.sch.uk
Wendell Park Primary School,Community school,Open,Cobbold Road,,London,,W12 9LB,www.wendellpark.lbhf.sch.uk,2087431372.0,Mr,David,Collins,Headteacher,Does not apply,Mixed,Primary,,Hammersmith and Chiswick,100340,admin@wendellpark.lbhf.sch.uk
Wormholt Park Primary School,Community school,Open,Bryony Road,,London,,W12 0SR,http://www.wormholtparkprimary.co.uk/,2087435073.0,Mrs,Anika,Hargie,Headteacher,Does not apply,Mixed,Primary,,Ealing Central and Acton,100341,info@wormholtparkprimary.co.uk
All Saints CofE Primary School,Voluntary aided school,Open,Bishops Avenue,Fulham,London,,SW6 6ED,www.allsaintsce.lbhf.sch.uk,2077362803.0,Mr,Kieran,Gorman,Headteacher,Church of England,Mixed,Primary,,Chelsea and Fulham,100344,office@allsaintsn20.barnetmail.net
Holy Cross RC School,Voluntary aided school,Open,Basuto Road,,London,,SW6 4BL,http://www.holycrossfulham.org.uk/,2077361447.0,Mrs,Kathleen,Williams,Headteacher,Roman Catholic,Mixed,Primary,,Chelsea and Fulham,100345,info@holycross.lewisham.sch.uk
John Betts Primary School,Voluntary aided school,Open,Paddenswick Road,,London,,W6 0UA,www.johnbetts.lbhf.sch.uk,2087482465.0,Miss,Jessica,Mair,Headteacher,,Mixed,Primary,,Hammersmith and Chiswick,100346,admin@johnbetts.lbhf.sch.uk
St John's Walham Green Church of England Primary School,Voluntary aided school,Open,Filmer Road,Fulham,London,,SW6 6AS,www.stjohnsce.lbhf.sch.uk,2077315454.0,Mrs,Hannah,Abu-Ghaida,Headteacher,Church of England,Mixed,Primary,,Chelsea and Fulham,100349,admin@stjohnsce.lbhf.sch.uk
St Mary's Catholic Primary School,Voluntary aided school,Open,Masbro Road,,London,,W14 0LT,www.stmarysrc.lbhf.sch.uk,2076037717.0,Ms,Lucy,Black,Headteacher,Roman Catholic,Mixed,Primary,,Hammersmith and Chiswick,100350,office@stmaryseltham.org
St Paul's CofE Primary School,Voluntary aided school,Open,Worlidge Street,,London,,W6 9BP,www.stpaulsprimary.org/,2087484951.0,Mrs,Tonnie,Read,Headteacher,Church of England,Mixed,Primary,,Hammersmith and Chiswick,100351,office@stpauls.camden.sch.uk
St Peter's Primary School,Voluntary aided school,Open,33 St Peter's Road,Hammersmith,London,,W6 9BA,www.stpetersce.lbhf.sch.uk/,2087487756.0,Miss,Karen,Frazer,Headteacher,Church of England,Mixed,Primary,,Hammersmith and Chiswick,100352,sao1@stpeters.greenwich.sch.uk
St Stephen's CofE Primary School,Voluntary aided school,Open,Uxbridge Road,,London,,W12 8LH,www.ststephensce.lbhf.sch.uk/,2087434483.0,Mr,Michael,Schumm,Headteacher,Church of England,Mixed,Primary,,Hammersmith and Chiswick,100353,admin@ststephensce.lewisham.sch.uk
Good Shepherd RC Primary School,Voluntary aided school,Open,35 Gayford Road,,London,,W12 9BY,www.goodshepherdrc.lbhf.sch.uk/,2087435060.0,Mrs,Imogen,Lavelle,Headteacher,Roman Catholic,Mixed,Primary,,Hammersmith and Chiswick,100354,friendsofgoodshepherdschool@gmail.com
St Thomas of Canterbury Catholic Primary School,Voluntary aided school,Open,Estcourt Road,Fulham,London,,SW6 7HB,www.stthomasrc.lbhf.sch.uk,2073858165.0,Miss,Joanne,Breslin,Headteacher,Catholic,Mixed,Primary,,Chelsea and Fulham,100357,admin@stthomasrc.lbhf.sch.uk
Woodlane High School,Community special school,Open,Du Cane Road,Hammersmith,London,,W12 0TN,www.woodlane.lbhf.sch.uk,2087435668.0,Ms,Claire,Maynard,Headteacher,Does not apply,Mixed,Not applicable,,Ealing Central and Acton,100379,admin@woodlane.lbhf.sch.uk
